Year,State,Overall_Homeless,Overall_Under_18,Overall_18_to_24,Overall_Over_24,Overall_Homeless_Individuals,Overall_Homeless_People_in_Families,Overall_Hispanic_Latino,Overall_White,Overall_African_American,Overall_Asian,Overall_American_Indian,Overall_Pacific_Islander,Overall_Multiple_Races,Individual_Hispanic_Latino,Individual_White,Individual_African_American,Individual_Asian,Individual_American_Indian,Individual_Pacific_Islander,Individual_Multiple_Races,People_In_Families_Hispanic_Latino,People_In_Families_White,People_In_Families_African_American,People_In_Families_Asian,People_In_Families_American_Indian,People_In_Families_Pacific_Islander,People_In_Families_Multiple_Races,Overall_Homeless_Veterans
2007,AK,1642,0,0,0,1062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203
2007,AL,5452,0,0,0,4184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,974
2007,AR,3836,0,0,0,2987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,287
2007,AZ,14646,0,0,0,10020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,869
2007,CA,138986,0,0,0,110952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16701
2007,CO,14225,0,0,0,6844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1541
2007,CT,4482,0,0,0,3173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,436
2007,DC,5320,0,0,0,3717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,524
2007,DE,1061,0,0,0,716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204
2007,FL,48069,0,0,0,33040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5841
2007,GA,19639,0,0,0,12521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2243
2007,GU,725,0,0,0,254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,HI,6070,0,0,0,3335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223
